"","rid","mean","lower","upper","auth1","auth2","auth3","auth4","authoritarianism","sdo","married","college","income","christian","post_call","uncertainty","waterFish","envHabitat","envWater","envPollution","envTemp","waterDams","waterConservation","publicConservation","immUndocumented","immSeparation","immAsylum","immBirthright","immTech","immResources","police","gunHome","concealCarry","background","registry","rwm","trump_vote","state_residence","state_insult","state_common","state_interest","state_we","state_partme","state_proud","state_identity_identity_strength","latino","black","other","white","recount","electionFraud","rr","moral_individualism","individualism","ideology","gender","party3","caseid","age","gen","authScaled"
"11",1252126405,-0.418303567121729,-1.9576251178338,1.10020706035994,1,0,0,0,0.25,0.1875,0,0,0,0,0,0,3,4,2,2,4,3,5,"protection",2,2,4,3,NA,3,4,0,3,1,1,0,NA,"Nevada",3,4,4,4,3,4,"Nevada",0,0,1,0,4,3,0.75,0.6875,0.45,NA,"Female",NA,1252126405,67,"Boomer",0.270245921679887
"12",1252231517,-0.41524750941824,-1.89532545128378,1.02168249092754,1,0,0,0,0.25,0.1875,1,1,1,0,0,0,3,4,3,4,4,5,5,"renewable",2,1,3,2,3,NA,2,0,1,1,1,0,0,"New Mexico",1,1,1,2,1,1,"New Mexico",0,0,0,1,5,4,0.25,0.5625,0.55,3,"Female",2,1252231517,54,"Gen X",0.271561360653272
"13",1252398569,0.134508052418113,-1.28275010486951,1.49780963500238,1,0,1,0,0.5,0.25,1,0,1,0,0,0,2,4,4,3,4,5,5,"protection",3,1,2,1,2,NA,4,0,2,1,1,0,0,"Arizona",3,3,4,2,2,2,"New Mexico",0,0,0,1,3,4,0.3125,0.25,0.45,3,"Female",1,1252398569,69,"Boomer",0.508196255029969
"14",1252413363,-1.01285131624385,-2.6524206257436,0.50262471423837,0,0,0,0,0,0.25,1,1,1,0,0,0,4,4,4,2,4,3,4,"renewable",1,1,3,1,NA,2,3,1,2,1,2,0,0,"Colorado",2,4,4,5,4,5,"Colorado",0,0,0,1,4,1,0,0.125,0.35,3,"Male",2,1252413363,64,"Boomer",0.0143308321708973
"15",1252432435,0.6860732091137,-0.671486816287882,2.05189759932803,0,1,1,1,0.75,0.375,0,1,1,0,0,0,4,3,3,3,3,4,5,"protection",2,2,3,3,1,NA,3,0,1,1,1,0,0,"Colorado",3,4,3,3,4,4,"Colorado",0,0,0,1,4,2,0.25,0.75,0.4,3,"Female",1,1252432435,38,"Millenial",0.745610065197803
"16",1252450823,0.666372659737224,-0.704318273873825,2.03314106853679,1,0,1,1,0.75,0.3125,1,1,1,1,0,0,2,2,3,3,3,4,4,"renewable",1,1,3,2,NA,NA,3,0,3,1,3,0,0,"Arizona",3,3,3,3,3,4,"Arizona",0,0,1,0,3,4,0.3125,0.625,0.55,3,"Female",2,1252450823,43,"Gen X",0.737130228440365
"17",1252519237,0.140767647567286,-1.34615195883914,1.52204421539352,1,0,0,1,0.5,0.6875,1,0,1,0,0,0,1,1,3,2,3,3,3,"extraction",5,3,5,5,NA,NA,5,0,3,1,3,0,1,"Arizona",3,4,3,4,4,5,"New Mexico",0,0,0,1,5,5,1,0.4375,1,4,"Female",3,1252519237,75,"Boomer",0.510890613650039
"18",1252575127,-0.399233403040486,-1.81635211008445,0.980770711810479,1,0,0,0,0.25,0.4375,1,0,1,1,0,0,2,2,4,1,1,5,2,"extraction",2,3,4,5,5,NA,5,1,5,4,5,1,1,"Colorado",1,2,2,2,4,4,"Colorado",0,0,0,1,4,5,0.9375,0.8125,0.75,4,"Male",2,1252575127,68,"Boomer",0.278454417557651
"19",1252587551,-0.989903676085736,-2.63077977060924,0.519973720846819,0,0,0,0,0,0.3125,1,0,0,0,0,0,2,3,4,3,3,4,4,"renewable",2,1,2,2,NA,NA,3,1,3,2,2,0,0,"Colorado",4,4,3,5,5,5,"Colorado",0,0,0,1,5,1,0.3125,0.25,0.45,NA,"Female",1,1252587551,34,"Millenial",0.0242083355232425
"20",1252606657,-0.41706191208195,-1.80453126581033,0.964242263853153,1,0,0,0,0.25,0.125,1,0,1,1,0,0,3,4,4,2,4,4,4,"renewable",1,1,3,1,NA,1,4,0,1,1,1,0,0,"Arizona",2,3,4,4,5,4,"Arizona",0,0,0,1,4,3,0.1875,0.9375,0.4,2,"Female",1,1252606657,64,"Boomer",0.270780375407302
"21",1252689191,0.67642824432555,-0.704999698996027,2.15374955978696,1,1,0,1,0.75,0.3125,0,0,0,1,0,0,2,4,2,2,3,4,5,"renewable",4,1,5,5,5,NA,5,0,4,1,5,0,1,"Nevada",5,5,5,5,5,5,"Nevada",0,0,0,1,5,4,0.8125,0.9375,0.5,4,"Female",3,1252689191,64,"Boomer",0.741458519706772
"22",1252721535,0.142541093540008,-1.33877501558243,1.57634575101497,1,0,0,1,0.5,0.25,1,1,0,1,0,0,1,1,3,3,3,5,2,"renewable",5,4,3,1,NA,NA,2,0,1,1,2,0,1,"Arizona",3,5,4,3,4,2,"Arizona",0,0,0,1,2,1,0.875,0.625,0.75,3,"Male",2,1252721535,62,"Boomer",0.511653969638719
"23",1252739171,0.674077208070395,-0.732859495658737,2.16455822737247,1,1,0,1,0.75,0.4375,1,0,0,1,0,0,3,4,4,2,4,5,5,"renewable",5,5,5,5,5,NA,5,NA,1,1,3,0,NA,"Colorado",4,3,5,3,2,5,"Colorado",0,0,1,0,3,4,0.5,0.75,0.4,5,"Female",3,1252739171,40,"Gen X",0.740446547742257
"24",1252768313,-1.01043539493083,-2.60702733773862,0.546674000137716,0,0,0,0,0,0,0,1,0,0,0,0,3,4,4,3,3,5,5,"protection",1,1,1,1,3,NA,3,0,1,1,1,0,0,"Colorado",3,3,4,1,3,5,"Colorado",1,0,0,0,4,5,0,0.5625,0.15,2,"Female",1,1252768313,43,"Gen X",0.0153707330366916
"25",1252770679,-0.986578530745366,-2.5908416956369,0.569067610515861,0,0,0,0,0,0.3125,0,0,1,0,0,0,2,3,4,2,3,4,5,"renewable",1,1,4,2,NA,2,3,NA,4,3,5,0,0,"New Mexico",3,1,3,1,1,3,"New Mexico",0,0,0,1,5,2,0.5625,0.5625,0.45,3,"Female",2,1252770679,68,"Boomer",0.0256395996541179
"26",1252835893,-0.415742300440374,-1.9898313936769,1.11579593833712,1,0,0,0,0.25,0.375,0,1,0,1,0,0,4,4,4,2,4,4,4,"protection",3,1,4,4,1,NA,4,1,3,1,1,0,0,"Arizona",5,4,4,4,5,5,"Arizona",0,0,0,1,3,2,0.375,0.5,0.6,3,"Female",1,1252835893,76,"Boomer",0.271348384506436
"27",1252853035,0.132107573080328,-1.3398676977916,1.59025185314966,1,0,0,1,0.5,0.3125,1,0,1,1,0,0,2,1,2,3,1,4,4,"extraction",3,1,3,5,5,NA,5,1,4,5,3,0,1,"Arizona",3,3,3,3,3,4,"Arizona",0,0,0,1,1,3,0.6875,0.375,0.5,4,"Female",3,1252853035,72,"Boomer",0.507163000954916
"28",1252868317,-0.991895378666086,-2.47818985487285,0.406757029193994,0,0,0,0,0,0,0,1,0,0,0,0,2,4,4,4,4,2,5,"protection",1,1,1,1,NA,NA,3,0,1,1,1,0,0,"Colorado",2,3,3,2,4,5,"Colorado",0,0,0,1,4,2,0,0.0625,0.35,1,"Male",1,1252868317,28,"Millenial",0.0233510339105831
"29",1252868681,-0.406093485243277,-1.88963180452779,0.96141539164982,0,0,0,1,0.25,0.5,0,0,1,1,0,0,3,3,3,2,3,3,4,"recreation",3,2,3,3,NA,3,2,0,2,3,3,0,1,"Arizona",2,2,4,3,2,1,"Arizona",1,0,0,0,3,3,0.5625,0.6875,0.55,NA,"Female",3,1252868681,45,"Gen X",0.275501587354259
"30",1252884515,0.10329752446151,-1.26791676149687,1.54993634743937,1,0,0,1,0.5,0.75,1,0,0,1,0,0,1,2,1,1,1,5,2,"extraction",4,4,5,5,NA,5,5,1,3,3,5,0,1,"New Mexico",4,3,3,4,4,4,"New Mexico",0,0,0,1,4,5,1,0.625,0.9,4,"Female",3,1252884515,70,"Boomer",0.494762102655445
"31",1252885033,0.672719416544448,-0.691252226749009,2.02869972502108,1,1,0,1,0.75,0.125,1,0,0,0,0,0,1,1,2,2,1,2,2,"extraction",5,3,5,4,NA,5,5,0,3,1,1,0,1,"Nevada",1,3,1,3,3,5,"Nevada",0,0,0,1,1,1,1,0.625,0.9,5,"Female",3,1252885033,44,"Gen X",0.739862104624929
"32",1252898385,-1.00135887485669,-2.54113411281081,0.433845742520912,0,0,0,0,0,0.3125,1,1,1,1,0,0,1,2,4,1,1,4,2,"extraction",5,5,5,5,NA,NA,5,NA,4,5,5,0,1,"Colorado",1,4,1,3,3,4,"Colorado",0,0,0,1,4,5,0.8125,0.375,0.7,3,"Male",2,1252898385,66,"Boomer",0.0192775991389212
"33",1252900499,1.24275736007157,-0.116425013551531,2.7302084337518,1,1,1,1,1,0.625,1,0,0,1,0,0,2,2,3,2,1,4,4,"extraction",4,4,5,5,5,NA,4,NA,5,2,3,0,1,"Colorado",3,3,4,4,4,4,"Colorado",0,0,0,1,3,4,1,0.5,0.7,4,"Female",3,1252900499,74,"Boomer",0.985227277660512
"34",1252913283,-0.991694628066608,-2.60136695929609,0.499916583817912,0,0,0,0,0,0.5,1,1,1,0,0,0,2,3,4,3,2,4,3,"recreation",2,2,3,2,2,NA,4,0,3,2,4,0,0,"Colorado",5,4,4,5,5,5,"Colorado",0,0,0,1,3,3,0.4375,0.5,0.55,3,"Male",3,1252913283,60,"Boomer",0.0234374443085879
"35",1252929853,0.678482682053818,-0.797567326114884,2.17921660609325,1,1,0,1,0.75,0.3125,1,0,1,1,0,0,1,2,1,1,1,3,3,"recreation",2,3,3,3,5,NA,3,1,3,3,5,1,1,"Arizona",4,4,3,3,3,4,"Arizona",0,0,0,1,3,3,0.625,0.625,0.9,5,"Male",3,1252929853,69,"Boomer",0.742342824820863
"36",1252930539,-0.420979456031141,-1.98933986755663,1.05760929385471,1,0,0,0,0.25,0.0625,0,1,0,0,0,0,4,4,3,3,4,3,5,"protection",1,1,2,1,2,NA,2,0,3,2,5,0,0,"New Mexico",3,2,3,4,3,3,"New Mexico",0,0,0,1,4,2,0,0.1875,0.25,2,"Female",1,1252930539,36,"Millenial",0.269094121255482
"37",1252944183,1.26275997274924,-0.245423464428345,2.86211728731052,1,1,1,1,1,0.5,0,0,0,1,0,0,3,2,4,3,3,4,4,"extraction",5,4,2,4,NA,4,4,1,5,2,2,0,1,"Colorado",4,3,4,4,2,5,"Colorado",0,0,0,1,4,3,1,0.5,0.7,4,"Male",3,1252944183,51,"Gen X",0.993837133507039
"38",1252945073,0.145864802667607,-1.45842827615916,1.65173975554852,1,1,0,0,0.5,0.25,1,1,0,1,0,0,2,3,3,3,2,4,2,"renewable",5,2,5,5,NA,NA,5,1,3,1,1,0,1,"Arizona",5,4,4,5,5,4,"Arizona",0,0,0,1,5,5,0.625,0.5625,0.6,5,"Female",3,1252945073,70,"Boomer",0.513084615571106
"39",1252946097,-0.98450569367894,-2.45148014108356,0.486248461614172,0,0,0,0,0,0.4375,1,1,1,1,0,0,2,2,2,2,1,4,4,"renewable",1,2,4,3,NA,NA,4,0,4,2,2,0,0,"Utah",3,4,3,4,4,3,"Utah",0,0,0,1,4,3,0.3125,0.75,0.65,3,"Female",2,1252946097,60,"Boomer",0.0265318245160828
"40",1252947101,-0.420661990883443,-1.94130981585494,0.978068575657895,0,0,1,0,0.25,0.25,0,0,0,1,0,0,4,4,4,4,4,4,4,"renewable",1,1,2,1,NA,1,3,1,1,1,1,0,0,"Colorado",2,2,3,5,3,5,"Colorado",0,0,1,0,4,5,0.125,0.3125,0.6,3,"Male",NA,1252947101,25,"Millenial",0.269230769862442
"41",1252960495,-1.01293155747992,-2.63726946900667,0.511181370284572,0,0,0,0,0,0.25,1,1,1,0,0,0,4,4,4,4,4,4,5,"renewable",1,1,1,1,1,NA,2,0,3,1,1,0,0,"Nevada",1,3,3,3,3,3,"Nevada",0,0,0,1,3,5,0,0,0.05,1,"Male",1,1252960495,39,"Millenial",0.0142962934090526
"42",1252960497,-0.44237514756422,-1.9279405085228,0.974380961846548,0,0,1,0,0.25,0.375,1,1,1,0,0,0,4,2,4,3,3,2,3,"protection",2,1,2,1,2,NA,4,0,1,1,1,0,0,"Colorado",4,4,3,3,5,5,"Wyoming",0,0,0,1,4,4,0.0625,0.125,0.25,3,"Male",2,1252960497,65,"Boomer",0.259884633334824
"43",1252961363,0.673912428768507,-0.765475561508411,2.08518366029143,1,1,0,1,0.75,0.625,1,0,1,0,0,0,2,3,2,3,1,1,1,"extraction",5,5,5,5,NA,NA,3,NA,5,5,5,0,1,"Arizona",1,1,1,3,1,1,"Arizona",0,0,0,1,4,5,1,1,1,4,"Male",2,1252961363,67,"Boomer",0.740375620705944
"44",1252973369,-1.02909492550095,-2.6057042142706,0.510525254751993,0,0,0,0,0,0.4375,0,0,0,0,0,0,2,2,3,3,3,4,4,"renewable",1,1,3,1,3,NA,5,0,2,1,1,0,NA,"Arizona",1,3,1,1,4,3,"Arizona",0,0,0,1,5,3,0.3125,0.75,0.45,4,"Female",3,1252973369,19,"Millenial",0.00733898883599673
"45",1252975123,-0.417766855947513,-1.88317103335462,1.06173738544024,0,1,0,0,0.25,0.375,1,0,0,1,0,0,1,1,2,1,1,4,3,"extraction",5,4,5,5,NA,NA,4,0,5,2,5,1,1,"Colorado",2,3,3,3,3,2,"Colorado",0,0,0,1,4,5,1,0.625,0.8,5,"Female",3,1252975123,65,"Boomer",0.270476941792894
"46",1252976921,-1.007802676584,-2.59926024155108,0.495698581903459,0,0,0,0,0,0.0625,1,1,1,0,0,0,3,4,2,4,4,4,5,"protection",2,1,1,1,NA,2,3,0,2,1,1,0,0,"Arizona",2,2,4,4,4,4,"Sonora, Mexico",0,0,0,1,5,3,0,0.125,0.3,1,"Male",1,1252976921,42,"Gen X",0.0165039512725284
"47",1253008861,-0.4189630249046,-1.96611517614951,1.06058939306566,0,0,0,1,0.25,0,1,1,1,0,0,0,3,4,4,3,4,3,5,"renewable",1,1,1,1,NA,1,4,0,1,1,1,0,0,"Colorado",3,3,2,4,4,4,"Colorado",0,0,0,1,5,5,0,0.75,0.25,3,"Female",2,1253008861,48,"Gen X",0.269962066938565
"48",1253010663,-0.425952484155604,-1.98014835967094,0.99441481673719,1,0,0,0,0.25,0.25,0,1,0,1,0,0,2,4,4,4,4,4,5,"protection",2,1,4,3,1,NA,3,1,2,1,3,0,0,"Colorado",4,4,3,5,5,5,"Colorado",0,0,0,1,5,3,0.25,0.625,0.65,3,"Male",2,1253010663,63,"Boomer",0.266953548123245
"49",1253010677,0.141324094594993,-1.39996081550204,1.68826813815421,1,1,0,0,0.5,0.4375,1,1,0,1,0,0,2,2,3,2,2,4,4,"extraction",4,3,5,4,5,NA,5,0,3,2,4,1,1,"Colorado",3,4,3,2,3,4,"Colorado",0,0,0,1,4,2,0.6875,0.1875,0.65,5,"Male",3,1253010677,83,"Greatest",0.511130128795985
"50",1253010731,-0.992526613305372,-2.5786439918111,0.464419549199838,0,0,0,0,0,0.4375,1,1,1,0,0,0,1,4,3,2,3,5,5,"renewable",2,3,2,1,NA,NA,4,0,2,2,4,0,1,"Nevada",4,4,3,5,3,4,"Nevada",0,0,0,1,4,1,0.8125,0.125,0.7,4,"Male",2,1253010731,71,"Boomer",0.0230793274421747
"51",1253010895,-1.01272518428411,-2.60009991875614,0.456805408678273,0,0,0,0,0,0.0625,1,0,1,0,0,0,2,3,3,3,4,3,4,"protection",1,1,3,2,1,NA,4,0,1,1,1,0,0,"Colorado",3,4,3,4,4,4,"Colorado",0,0,0,1,4,2,0,0.0625,0.6,2,"Male",1,1253010895,63,"Boomer",0.0143851239780985
"52",1253029211,0.141918747115695,-1.30100992081872,1.51780694257789,1,0,0,1,0.5,0.0625,0,0,0,0,0,0,2,3,4,3,4,3,3,"extraction",3,3,4,5,NA,5,4,NA,3,2,5,0,1,"Arizona",3,3,3,4,3,4,"Texas",0,0,1,0,2,5,0.9375,0.75,0.55,3,"Female",2,1253029211,46,"Gen X",0.511386088983013
"53",1253029879,1.24020370441283,-0.218910489485603,2.75681458159965,1,1,1,1,1,0.1875,1,0,1,1,0,0,2,1,2,1,1,4,2,"extraction",3,1,4,5,5,NA,4,0,4,2,2,0,1,"New Mexico",3,2,3,3,4,3,"New Mexico",0,0,0,1,3,2,0.625,0.125,0.5,4,"Female",3,1253029879,71,"Boomer",0.984128090896376
"54",1253030919,-0.418127818972388,-2.00749132209576,1.01894439276467,0,0,0,1,0.25,0.3125,1,1,1,0,0,0,2,3,2,2,2,4,4,"renewable",4,2,3,4,3,NA,3,0,3,2,3,0,NA,"Nevada",3,4,2,4,3,4,"Nevada",0,0,0,1,3,2,0.5625,0.875,0.7,4,"Male",2,1253030919,46,"Gen X",0.270321570109196
"55",1253045295,0.119601801405293,-1.38090309760204,1.678748038948,1,0,0,1,0.5,0.75,1,0,0,0,0,0,1,4,3,1,1,3,2,"recreation",5,5,5,3,NA,3,4,1,5,5,5,1,1,"Arizona",3,4,2,5,5,5,"Arizona",0,0,0,1,5,5,1,0.875,0.65,4,"Female",3,1253045295,58,"Gen X",0.50178005958087
"56",1253045353,1.25210090091873,-0.22513357611479,2.74798102967966,1,1,1,1,1,0.25,1,1,1,1,0,0,4,3,3,4,4,5,3,"protection",5,3,5,5,5,NA,4,0,5,1,4,1,1,"Arizona",5,5,5,5,5,5,"Arizona",0,0,0,1,5,3,0.8125,0.75,0.7,5,"Male",3,1253045353,66,"Boomer",0.98924907926646
"57",1253045355,-0.447496866463428,-1.98156524818281,1.12392494164687,1,0,0,0,0.25,0.5625,1,0,0,1,0,0,2,4,4,3,2,5,3,"renewable",4,1,5,5,5,NA,4,0,4,2,2,0,1,"Arizona",3,2,2,2,2,3,"Arizona",0,0,0,1,4,5,0.875,0.375,0.6,4,"Male",3,1253045355,78,"Boomer",0.257680058256596
"58",1253045791,-0.998813112876811,-2.65117213738818,0.489858452505688,0,0,0,0,0,0.375,0,1,1,0,0,0,4,2,4,4,4,4,4,"renewable",2,1,3,3,NA,NA,3,1,1,1,1,0,0,"Colorado",3,3,3,3,3,3,"Colorado",0,0,0,1,3,4,0.3125,0.75,0.3,1,"Female",1,1253045791,48,"Gen X",0.020373388175062
"59",1253046247,0.693231771038974,-0.715819337721898,2.14199700495137,1,0,1,1,0.75,0.375,0,0,0,1,0,0,2,2,4,3,2,4,3,"extraction",3,3,4,1,5,NA,3,1,3,2,3,0,1,"Colorado",3,3,3,3,3,4,"Colorado",0,0,0,1,3,2,0.6875,0.75,0.65,4,"Female",2,1253046247,66,"Boomer",0.748691371986983
"60",1253046313,0.137094823393973,-1.29434844099811,1.57289348397896,1,0,0,1,0.5,0.125,0,1,0,1,0,0,2,2,2,2,2,5,1,"extraction",5,3,1,2,NA,1,5,0,4,2,2,0,1,"Nevada",4,4,5,4,5,5,"Arizona",0,0,0,1,5,5,1,0.5625,0.75,5,"Female",3,1253046313,65,"Boomer",0.509309695837379
"61",1253066441,0.154670152297783,-1.30734828142299,1.60447520203963,1,0,0,1,0.5,0.25,1,1,1,1,0,0,2,3,3,2,2,5,5,"renewable",1,1,1,1,1,NA,5,1,2,1,1,0,0,"Arizona",4,4,3,4,4,4,"Arizona",0,0,0,1,4,5,0.25,0.5625,0.65,3,"Female",1,1253066441,65,"Boomer",0.516874759999525
"62",1253066491,0.697420785026337,-0.725463124570451,2.08436435330771,1,1,0,1,0.75,0.5,0,1,0,0,0,0,2,3,4,4,2,3,3,"protection",1,1,4,2,1,NA,5,0,4,1,1,0,0,"Arizona",4,2,4,4,5,5,"Colorado",0,0,0,1,4,1,0.625,0.5625,0.2,2,"Female",1,1253066491,74,"Boomer",0.750494476768917
"63",1253066507,1.24204145543641,-0.30851382719242,2.88167951217606,1,1,1,1,1,0.3125,1,0,0,0,0,0,2,2,4,2,1,4,1,"protection",5,1,5,5,NA,5,5,1,5,5,5,0,1,"Arizona",4,2,4,4,5,5,"Arizona",0,0,0,1,1,1,0.875,0.0625,0.75,5,"Female",3,1253066507,62,"Boomer",0.984919126130112
"64",1253066689,-0.426123426330216,-1.88859523924217,1.00521714677865,1,0,0,0,0.25,0.6875,1,0,1,1,0,0,2,2,3,2,3,4,5,"extraction",5,4,5,5,NA,5,5,1,4,1,3,0,1,"Arizona",2,4,4,4,5,5,"Arizona",0,0,0,1,5,3,0.9375,0.625,0.7,4,"Female",3,1253066689,70,"Boomer",0.26687996836118
"65",1253066887,0.658216999751196,-0.860312346236733,2.22480270692187,1,1,0,1,0.75,0.25,1,0,0,0,0,0,3,3,4,4,4,5,5,"renewable",2,1,4,1,NA,NA,4,1,2,1,1,0,0,"Colorado",1,4,5,5,5,5,"Colorado",0,0,0,1,4,3,0.25,0.9375,0.3,3,"Female",2,1253066887,85,"Greatest",0.733619734189212
"66",1253067301,-0.415163863696916,-1.9530134167367,1.018283354387,1,0,0,0,0.25,0.3125,1,1,1,1,0,0,1,2,1,1,1,4,2,"extraction",2,3,5,1,4,NA,3,1,3,2,5,0,1,"Nevada",3,2,3,5,1,3,"Nevada",0,0,0,1,3,5,0.9375,0.125,0.8,4,"Male",3,1253067301,70,"Boomer",0.271597364830045
"67",1253067721,0.672689370273195,-0.73970633335515,2.23925234402619,1,1,1,0,0.75,0.375,1,1,0,1,0,0,1,3,4,2,1,4,1,"extraction",5,1,5,5,5,NA,5,NA,5,2,5,0,1,"Colorado",3,2,4,4,5,2,"Colorado",0,0,0,1,3,5,0.8125,0.375,0.75,4,"Male",3,1253067721,84,"Greatest",0.739849171611208
"68",1253087085,-0.406768174832464,-1.85324781997777,1.04639741700465,1,0,0,0,0.25,0.4375,0,1,1,0,0,0,2,4,4,4,4,5,4,"renewable",1,1,4,1,4,NA,5,1,4,1,1,0,0,"Arizona",4,4,4,4,2,4,"Arizona",0,0,0,1,5,5,0.6875,0.8125,0.7,3,"Female",2,1253087085,78,"Boomer",0.275211176286582
"69",1253088213,-0.994311385789451,-2.51310999276385,0.442447743818873,0,0,0,0,0,0.6875,1,1,1,0,0,0,1,2,2,1,1,5,3,"extraction",5,4,5,5,NA,5,5,1,5,4,5,0,1,"Colorado",2,2,3,3,4,2,"Colorado",0,0,1,0,3,4,1,1,1,3,"Male",2,1253088213,63,"Boomer",0.0223110961088786
"70",1253088231,1.24980207355158,-0.145344013833577,2.774587249537,1,1,1,1,1,0.5,0,0,1,1,0,0,1,2,2,2,1,4,1,"extraction",5,5,5,5,NA,5,4,1,3,4,5,1,1,"Arizona",5,4,4,5,4,5,"Arizona",0,0,0,1,4,5,0.9375,0.8125,0.9,4,"Male",2,1253088231,53,"Gen X",0.98825957991624
"71",1253089543,0.106363521553986,-1.38379067461239,1.52433138833447,1,0,0,1,0.5,0.25,0,1,1,0,0,0,1,1,1,1,1,1,1,"extraction",5,3,5,5,NA,5,2,0,5,1,5,0,1,"New Mexico",1,1,1,1,1,3,"New Mexico",1,0,0,0,3,2,0.625,0.4375,0.8,4,"Female",3,1253089543,59,"Gen X",0.49608181990526
"72",1253105623,-0.987144661904482,-2.53849627233922,0.464204426988552,0,0,0,0,0,0,0,1,1,0,0,0,3,3,4,4,4,5,5,"renewable",1,1,2,1,NA,1,4,1,5,1,1,0,0,"Utah",2,4,4,4,4,4,"Utah",0,0,0,1,4,1,0,1,0.25,1,"Female",2,1253105623,59,"Gen X",0.0253959161039356
